Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2005,MAR,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.335,
SURVEY,2005,MAR,,STATE,MICHIGAN,26,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.185,
SURVEY,2005,MAR,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.222,
SURVEY,2005,MAR,,STATE,OHIO,39,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.29,
SURVEY,2005,MAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.175,
SURVEY,2005,MAR,,STATE,VIRGINIA,51,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.22,
SURVEY,2005,MAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.12,
SURVEY,2005,APR,,STATE,MICHIGAN,26,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.185,
SURVEY,2005,APR,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.22,
SURVEY,2005,APR,,STATE,OHIO,39,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.255,
SURVEY,2005,APR,,STATE,PENNSYLVANIA,42,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.175,
SURVEY,2005,APR,,STATE,VIRGINIA,51,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.2,
SURVEY,2005,APR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.107,
SURVEY,2005,MAY,,STATE,MICHIGAN,26,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.185,
SURVEY,2005,MAY,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.215,
SURVEY,2005,MAY,,STATE,OHIO,39,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.24,
SURVEY,2005,MAY,,STATE,PENNSYLVANIA,42,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.171,
SURVEY,2005,MAY,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.112,
SURVEY,2005,JUN,,STATE,MICHIGAN,26,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.175,
SURVEY,2005,JUN,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.255,
SURVEY,2005,JUN,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.1,
SURVEY,2005,JUL,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.098,
SURVEY,2005,AUG,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.385,
SURVEY,2005,AUG,,STATE,MICHIGAN,26,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.22,
SURVEY,2005,AUG,,STATE,OHIO,39,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.33,
SURVEY,2005,AUG,,STATE,PENNSYLVANIA,42,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.19,
SURVEY,2005,AUG,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.129,
SURVEY,2005,SEP,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.371,
SURVEY,2005,SEP,,STATE,MICHIGAN,26,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.235,
SURVEY,2005,SEP,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.261,
SURVEY,2005,SEP,,STATE,OHIO,39,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.33,
SURVEY,2005,SEP,,STATE,PENNSYLVANIA,42,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.185,
SURVEY,2005,SEP,,STATE,VIRGINIA,51,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.205,
SURVEY,2005,SEP,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.257,
SURVEY,2005,OCT,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.391,
SURVEY,2005,OCT,,STATE,MICHIGAN,26,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.225,
SURVEY,2005,OCT,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.283,
SURVEY,2005,OCT,,STATE,OHIO,39,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.338,
SURVEY,2005,OCT,,STATE,PENNSYLVANIA,42,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.185,
SURVEY,2005,OCT,,STATE,VIRGINIA,51,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.203,
SURVEY,2005,OCT,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.249,
SURVEY,2005,NOV,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.311,
SURVEY,2005,NOV,,STATE,MICHIGAN,26,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.21,
SURVEY,2005,NOV,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.268,
SURVEY,2005,NOV,,STATE,OHIO,39,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.324,
SURVEY,2005,NOV,,STATE,PENNSYLVANIA,42,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.18,
SURVEY,2005,NOV,,STATE,VIRGINIA,51,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.207,
SURVEY,2005,NOV,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.258,
SURVEY,2005,DEC,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.38,
SURVEY,2005,DEC,,STATE,MICHIGAN,26,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.21,
SURVEY,2005,DEC,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.27,
SURVEY,2005,DEC,,STATE,OHIO,39,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.316,
SURVEY,2005,DEC,,STATE,PENNSYLVANIA,42,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.18,
SURVEY,2005,DEC,,STATE,VIRGINIA,51,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.206,
SURVEY,2005,DEC,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.206,
SURVEY,2004,JAN,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.271,
SURVEY,2004,JAN,,STATE,MICHIGAN,26,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.185,
SURVEY,2004,JAN,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.222,
SURVEY,2004,JAN,,STATE,OHIO,39,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.279,
SURVEY,2004,JAN,,STATE,PENNSYLVANIA,42,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.202,
SURVEY,2004,JAN,,STATE,VIRGINIA,51,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.215,
SURVEY,2004,JAN,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.279,
SURVEY,2004,FEB,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.183,
SURVEY,2004,FEB,,STATE,MICHIGAN,26,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.185,
SURVEY,2004,FEB,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.216,
SURVEY,2004,FEB,,STATE,OHIO,39,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.276,
SURVEY,2004,FEB,,STATE,PENNSYLVANIA,42,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.202,
SURVEY,2004,FEB,,STATE,VIRGINIA,51,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.21,
SURVEY,2004,FEB,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.275,
SURVEY,2004,MAR,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.267,
SURVEY,2004,MAR,,STATE,MICHIGAN,26,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.19,
SURVEY,2004,MAR,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.216,
SURVEY,2004,MAR,,STATE,OHIO,39,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.278,
SURVEY,2004,MAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.202,
SURVEY,2004,MAR,,STATE,VIRGINIA,51,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.21,
SURVEY,2004,MAR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.274,
SURVEY,2004,APR,,STATE,MICHIGAN,26,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.19,
SURVEY,2004,APR,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.217,
SURVEY,2004,APR,,STATE,OHIO,39,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.273,
SURVEY,2004,APR,,STATE,PENNSYLVANIA,42,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.202,
SURVEY,2004,APR,,STATE,VIRGINIA,51,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.2,
SURVEY,2004,APR,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.265,
SURVEY,2004,MAY,,STATE,MICHIGAN,26,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.18,
SURVEY,2004,MAY,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.22,
SURVEY,2004,MAY,,STATE,OHIO,39,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.278,
SURVEY,2004,MAY,,STATE,PENNSYLVANIA,42,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.202,
SURVEY,2004,MAY,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.257,
SURVEY,2004,JUN,,STATE,MICHIGAN,26,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.18,
SURVEY,2004,JUN,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.218,
SURVEY,2004,JUN,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.252,
SURVEY,2004,JUL,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.243,
SURVEY,2004,AUG,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.241,
SURVEY,2004,AUG,,STATE,MICHIGAN,26,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.22,
SURVEY,2004,AUG,,STATE,OHIO,39,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.32,
SURVEY,2004,AUG,,STATE,PENNSYLVANIA,42,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.175,
SURVEY,2004,AUG,,STATE,VIRGINIA,51,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.27,
SURVEY,2004,AUG,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.224,
SURVEY,2004,SEP,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.222,
SURVEY,2004,SEP,,STATE,MICHIGAN,26,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.225,
SURVEY,2004,SEP,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.247,
SURVEY,2004,SEP,,STATE,OHIO,39,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.32,
SURVEY,2004,SEP,,STATE,PENNSYLVANIA,42,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.171,
SURVEY,2004,SEP,,STATE,VIRGINIA,51,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.28,
SURVEY,2004,SEP,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.253,
SURVEY,2004,OCT,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.25,
SURVEY,2004,OCT,,STATE,MICHIGAN,26,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.215,
SURVEY,2004,OCT,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.238,
SURVEY,2004,OCT,,STATE,OHIO,39,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.315,
SURVEY,2004,OCT,,STATE,PENNSYLVANIA,42,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.17,
SURVEY,2004,OCT,,STATE,VIRGINIA,51,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.27,
SURVEY,2004,OCT,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.228,
SURVEY,2004,NOV,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.16,
SURVEY,2004,NOV,,STATE,MICHIGAN,26,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.215,
SURVEY,2004,NOV,,STATE,NEW YORK,36,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.223,
SURVEY,2004,NOV,,STATE,OHIO,39,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.31,
SURVEY,2004,NOV,,STATE,PENNSYLVANIA,42,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.172,
SURVEY,2004,NOV,,STATE,VIRGINIA,51,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.26,
SURVEY,2004,NOV,,STATE,WASHINGTON,53,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.213,
SURVEY,2004,DEC,,STATE,CALIFORNIA,6,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.213,
SURVEY,2004,DEC,,STATE,MICHIGAN,26,,,,,,,0,,APPLES,"APPLES, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.21,
